ID_ESTADO;UF;CAPITAL;SIGLA;REGIAO;Cidade;PIB;Pop_est_2009;PIB_percapita
2;ALAGOAS;68;AL;NORDESTE;São José da Laje;147755.59375;23112;6393.02001953
2;ALAGOAS;68;AL;NORDESTE;Pindoba;14839.16210938;3246;4571.52001953
3;AMAPÁ;131;AP;NORTE;Itaubal;32050.08203125;3650;8780.83984375
3;AMAPÁ;131;AP;NORTE;Pracuúba;32157.5078125;3658;8791.00976562
3;AMAPÁ;131;AP;NORTE;Vitória do Jari;99332.9140625;11519;8623.40039062
3;AMAPÁ;131;AP;NORTE;Calçoene;107248.828125;9291;11543.29980469
3;AMAPÁ;131;AP;NORTE;Pedra Branca do Amapari;104478.9921875;8182;12769.37011719
3;AMAPÁ;131;AP;NORTE;Oiapoque;230480.78125;20962;10995.16992188
3;AMAPÁ;131;AP;NORTE;Amapá;81456.1328125;7802;10440.41992188
3;AMAPÁ;131;AP;NORTE;Porto Grande;144603.140625;14951;9671.79980469
3;AMAPÁ;131;AP;NORTE;Mazagão;114913.0546875;14655;7841.22021484
3;AMAPÁ;131;AP;NORTE;Laranjal do Jari;323042.5;40357;8004.62011719
3;AMAPÁ;131;AP;NORTE;Santana;1104524.875;97220;11361.08984375
3;AMAPÁ;131;AP;NORTE;Cutias;50685.06640625;4652;10895.33007812
3;AMAPÁ;131;AP;NORTE;Serra do Navio;109795.3046875;3982;27572.90039062
3;AMAPÁ;131;AP;NORTE;Ferreira Gomes;69937.7265625;5475;12774.00976562
3;AMAPÁ;131;AP;NORTE;Tartarugalzinho;119988.0234375;13769;8714.36035156
3;AMAPÁ;131;AP;NORTE;Macapá;4679694.0;366484;12769.16015625
4;AMAZONAS;178;AM;NORTE;Envira;69843.03125;17614;3965.19995117
4;AMAZONAS;178;AM;NORTE;Nova Olinda do Norte;108783.34375;31012;3507.7800293
4;AMAZONAS;178;AM;NORTE;Manaus;40486108.0;1738641;23286.06054688
4;AMAZONAS;178;AM;NORTE;Rio Preto da Eva;216235.546875;26847;8054.37011719
4;AMAZONAS;178;AM;NORTE;Coari;1103350.125;66991;16470.11914062
4;AMAZONAS;178;AM;NORTE;Apuí;146993.34375;18597;7904.14013672
4;AMAZONAS;178;AM;NORTE;Urucará;69487.6171875;15780;4403.52001953
4;AMAZONAS;178;AM;NORTE;Autazes;136269.859375;31774;4288.72021484
4;AMAZONAS;178;AM;NORTE;Anamã;41735.99609375;8673;4812.18017578
4;AMAZONAS;178;AM;NORTE;Novo Airão;61709.34765625;15915;3877.42993164
4;AMAZONAS;178;AM;NORTE;Itamarati;36895.9296875;8281;4455.49023438
4;AMAZONAS;178;AM;NORTE;Benjamin Constant;116750.1015625;31195;3742.59008789
4;AMAZONAS;178;AM;NORTE;Tabatinga;202660.984375;47948;4226.68017578
4;AMAZONAS;178;AM;NORTE;Codajás;84273.59375;16291;5173.02001953
4;AMAZONAS;178;AM;NORTE;Tonantins;67153.0078125;20286;3310.31005859
4;AMAZONAS;178;AM;NORTE;Boca do Acre;149755.40625;31221;4796.62011719
4;AMAZONAS;178;AM;NORTE;Eirunepé;123005.4375;30901;3980.62988281
4;AMAZONAS;178;AM;NORTE;Manaquiri;82990.75;20836;3983.05004883
